r0,incubation_period,infectious_period,mortality_rate,asymptomatic_fraction,vaccination_effectiveness,population,initial_infected,hospital_capacity,intervention_day,mask_compliance,vaccination_rate,contact_reduction,symptomatic_contact_multiplier,peak_cases,peak_day,total_cases,total_deaths,days_over_hospital_capacity,attack_rate
4.274389961296422,2.73021328623613,3.527464561835093,0.2796694472894294,0.06560189282399183,0.6216441100793082,5000,22,30.541006878032,52,0.9032463788106115,0.7592073222939234,0.8548767674923432,0.5571297861706215,679,31,3985,1452,60,0.797
4.951267750420579,14.270344553570055,6.203389408668593,0.3027364215530023,0.43375616339252726,0.8407636851994742,5000,32,49.94336065770907,48,0.7164687792653185,0.7176405244212875,0.8723076699833436,0.23081612228690584,45,41,217,76,66,0.0434
1.3207254166948053,8.019164661223769,8.672951908535618,0.24699081447464366,0.5793465980828717,0.26652623236099254,5000,6,32.55702331961184,31,0.7844879062220522,0.025708232058410545,0.09497304745429498,0.9032978242021874,9,34,63,19,108,0.0126
5.906973248855642,20.428470169270238,12.72297183490823,0.10811399939600608,0.049862663234786,0.5988980974749124,5000,14,37.545684812933246,55,0.5957992328208808,0.6083677926173301,0.14458057616300926,0.8380315278503524,245,142,2251,229,192,0.4502
1.092114099989217,6.9414319651948055,5.015135616699887,0.3769944106621032,0.10648981900052139,0.6746745971613535,5000,8,43.89595739787118,41,0.14007434777453726,0.5454623477190439,0.01888504263059172,0.3350651933590539,8,0,11,4,9,0.0022
5.565281331731347,16.800484556031787,13.481837789221427,0.09269779663510344,0.5368351416128931,0.7776173628018637,5000,35,13.119245690568432,9,0.6250052093156176,0.32873856875754626,0.197090394659308,0.2502451747382338,59,31,259,30,197,0.0518
1.593274644516181,4.539954860690904,5.33324913508044,0.33005154609024767,0.014120635194096887,0.9126751792160942,5000,17,38.53103285642254,13,0.8533970156693311,0.24425336833595473,0.507194319731566,0.053628803568772,24,6,37,16,21,0.0074
4.9683391906195915,18.98529369503463,3.6249979503649334,0.38037609919867316,0.39128369461167106,0.08793370941895634,5000,33,46.22012888855896,19,0.4760006038096084,0.48838135401803484,0.41391537395767614,0.1538234920108265,703,87,4216,2060,116,0.8432
3.5908061292040045,3.461065592377813,7.706485944064007,0.04137965368037691,0.5687846786643469,0.3927297057063133,5000,48,29.94326926977296,49,0.2492004135238214,0.9621024498821786,0.29192585745320654,0.9535447889601496,1193,38,4248,267,82,0.8496
2.86281855085174,13.158682720387617,7.363320495178094,0.2331138004239175,0.287091038041565,0.42911205116275664,5000,29,11.482270813658136,35,0.8055940839670409,0.1387065285791338,0.35439503823741225,0.6355834621496211,155,40,1009,277,194,0.2018
3.7676080031486894,12.445909497826733,11.904659073247974,0.18879048095987627,0.2313473635670637,0.2178874237226576,5000,1,20.746987075160494,24,0.9815297794454161,0.07236942447393564,0.7832734109274074,0.857585439586247,5,57,12,3,40,0.0024
2.3221768800715017,15.593489663251873,9.099522571085735,0.1391386622286359,0.30531881159455493,0.027769258224866828,5000,11,41.98009087838542,8,0.296068498141718,0.567369271183168,0.4826767905630199,0.6648673964670107,82,178,785,102,189,0.157
3.9346116289950563,5.873182897738753,10.774371937529574,0.17881071696799325,0.1385768847506733,0.1220857320940176,5000,27,24.047075356127912,16,0.18455713186403694,0.88650816072496,0.6811595908114807,0.7059346413631155,281,39,2221,454,200,0.4442
0.9272163085586522,19.655704269037674,10.152795458511495,0.293681129092646,0.4745186286322032,0.3381953392380567,5000,9,26.664221188857297,0,0.653714271139279,0.6625875748349123,0.23126843657035448,0.3876426629838946,9,0,10,5,12,0.002
5.443275895205732,9.329938150685065,8.106959804839885,0.07665894142435456,0.2581332818068537,0.28926285110473743,5000,41,34.84332817014746,23,0.5236988875691062,0.273828263630254,0.5809978961889177,0.0009028653436646883,723,33,3217,314,169,0.6434
1.9514371438814986,17.99359111733569,4.225042939326036,0.34043468572319713,0.3423038991503715,0.5073151222765734,5000,40,18.65494673216626,59,0.02111560537410704,0.8198880411810187,0.7216909608094028,0.44638673672350615,81,64,392,154,119,0.0784
2.4900070658487596,1.2559025207173518,6.752525292738937,0.15223866536430963,0.5081131350463508,0.7255206589706507,5000,45,17.209816583284066,36,0.3763849831624994,0.4043689033179557,0.055533729701750745,0.7542338019944117,94,7,413,87,81,0.0826
3.1068752176472847,10.926437094669367,10.11132056053693,0.20262291411305366,0.37097790061957675,0.8789128445445545,5000,47,14.652533124545453,44,0.06445600683670276,0.3769822335566338,0.3821638562754963,0.5105167133770065,60,22,159,51,105,0.0318
3.375886176363921,7.4212414966764975,11.691520778987272,0.003837264963728637,0.1653346189161222,0.5230369716650285,5000,20,22.073961719751466,28,0.32593697517123654,0.15932329679101823,0.6028717992641498,0.11724394680043097,134,36,474,1,196,0.0948
4.462440401696079,11.934729583588709,12.99075648782288,0.03236370440067523,0.20023363151697884,0.14278372836752576,5000,24,45.02892972244082,5,0.40612355470641026,0.9456592563892553,0.643121155938876,0.4605422688147427,86,196,1006,45,200,0.2012
